Gayle,Bowen
Stacy,Wheeler
Laverne,Brady
Dolores,Reyes
Ann,Howell
Kim,Gregory
Rosalie,Floyd
Miranda,Graham
Antonia,Warren
Carla,May
Velma,Byrd
Wanda,Terry
Adrienne,Morton
Casey,Summers
Janet,Hunter
Beverly,Tucker
Holly,Taylor
Jo,Saunders
Yolanda,Obrien
Kellie,Reynolds
Judy,Wright
Mae,Logan
Virginia,Campbell
Bessie,Washington
Nichole,Mccoy
Lynne,Alexander
Leah,Marshall
Beth,Briggs
Kristen,Ramos
Frances,Perry
Lillian,Padilla
Vera,Watkins
Leona,Bryant
Marjorie,Hanson
Cecelia,Peters
Marguerite,Russell
Lorraine,Franklin
Nora,Mullins
Ella,Hughes
Edna,Chapman
Thelma,Barton
Maxine,West
Elsie,Herrera
Veronica,Harvey
Mildred,Gonzales
Shannon,Owens
Sandra,Nunez
Janie,Ford
Gwendolyn,Tran
Daisy,Jensen
Lila,Dawson
Tiffany,Gibson
Gladys,Hardy
Henrietta,Roberson
Paulette,Griffith
Jeannie,Guzman
Tracey,Black
Yvette,Miller
Kendra,Conner
Sue,Elliott
Ollie,Hawkins
Carrie,Mccormick
Eleanor,Gilbert
Winifred,Casey
Alison,Barber
Patty,Stevens
Lindsay,Payne
Naomi,Cummings
Angie,Powers
Nicole,Malone
Sharon,Foster
Tanya,Rodriquez
Joy,Hall
Dana,Bass
Rebecca,Lopez
Mindy,Mcbride
Pat,Massey
Wilma,Fitzgerald
Brenda,Higgins
Amber,Zimmerman
Ruth,Powell
Hazel,Nelson
Elsa,Davidson
Dianne,Schwartz
Rachael,Manning
Opal,Singleton
Belinda,Park
Alma,Stevenson
Robyn,Duncan
Guadalupe,Lane
Ramona,Rodriguez
Ora,Williams
Kelley,Greene
Joan,Lloyd
Lana,Schultz
Debbie,Wilkins
Nancy,Harrison
Andrea,Simmons
Erma,Pierce
Vickie,Brown
Mindy,Roberson
Lora,Lewis
Marianne,Park
Laverne,Woods
Norma,Harrington
Sharon,Sanders
Marian,Hansen
Lana,Stokes
Tamara,Watts
Katrina,Thomas
April,Tyler
Charlotte,Hines
Angelina,Vargas
Virginia,Glover
Sonya,Ramirez
Elizabeth,Massey
Shelly,Nunez
Cassandra,Burns
Eula,Carson
Valerie,Marshall
Mandy,Williams
Fannie,Guzman
Leslie,Allen
Sheri,Yates
Lillian,Becker
Kelly,Lowe
Jackie,Harris
Janice,Lopez
Jacquelyn,Moreno
Becky,Reynolds
Jasmine,Herrera
Faye,Oliver
Lauren,Peterson
Mae,Curry
Janis,Ballard
Lindsay,Simmons
Christy,White
Ruth,Pierce
Darlene,Lloyd
Jeanette,Mann
Amanda,Fowler
Kristina,Martin
Myra,Mclaughlin
Beatrice,Sharp
Nicole,Cortez
Sally,Padilla
Naomi,Mitchell
Shari,Graham
Leona,Moss
Erin,Chambers
Harriet,Erickson
Shannon,Phelps
Wanda,Sutton
Maryann,Steele
Brenda,Sherman
Tonya,Norman
Della,Howell
Nadine,Pena
Sara,Mullins
June,Ramos
Karen,Flowers
Anita,Jimenez
Mamie,Ward
Joy,Berry
Kathy,Klein
Monique,Baldwin
Lena,Mcdonald
Dorothy,Jenkins
Jeanne,Frazier
Helen,Walton
Muriel,Gonzalez
Michele,Elliott
Annie,Powell
Julia,Clarke
Maria,Osborne
Dixie,Wood
Ginger,Mckinney
Patricia,Sullivan
Tara,Wheeler
Essie,Green
Carla,Parks
Erica,Fox
Ruby,Dawson
Wilma,Rodriguez
Marta,Carlson
Kimberly,Byrd
Debra,Bridges
Adrienne,Garrett
Rosalie,Keller
Tabitha,Flores
Willie,Hall
Vera,Thompson
Lillie,Mills
Verna,Greene
Yolanda,Bush
Kristin,Simpson
Inez,Stevenson
Clara,Wade
Bobbie,Schwartz
Susie,Collier